Date,Type,Description,Amount,Image
01/12/2023,EXPENSE,Fixed Expenses,850,
01/12/2023,EXPENSE,Stock Expense,716,
01/12/2023,EXPENSE,Outsource Expense,550,
01/12/2023,INCOME,Sales,1860,
02/12/2023,EXPENSE,Fixed Expenses,850,
02/12/2023,EXPENSE,Stock Expense,1060,
02/12/2023,EXPENSE,Outsource Expense,630,
02/12/2023,INCOME,Sales,2260,
03/12/2023,EXPENSE,Fixed Expenses,850,
03/12/2023,EXPENSE,Stock Expense,896,
03/12/2023,EXPENSE,Outsource Expense,135,
03/12/2023,INCOME,Sales,1924,
04/12/2023,EXPENSE,Fixed Expenses,950,
04/12/2023,EXPENSE,Stock Expense,1262,
04/12/2023,EXPENSE,Outsource Expense,730,
04/12/2023,INCOME,Sales,3138,
05/12/2023,EXPENSE,Fixed Expenses,950,
05/12/2023,EXPENSE,Stock Expense,1242,
05/12/2023,EXPENSE,Outsource Expense,15,
05/12/2023,INCOME,Sales,3001,
06/12/2023,EXPENSE,Fixed Expenses,850,
06/12/2023,EXPENSE,Stock Expense,746,
06/12/2023,EXPENSE,Outsource Expense,238,
06/12/2023,INCOME,Sales,1693,
07/12/2023,EXPENSE,Fixed Expenses,850,
07/12/2023,EXPENSE,Stock Expense,888,
07/12/2023,EXPENSE,Outsource Expense,250,
07/12/2023,INCOME,Sales,1475,
08/12/2023,EXPENSE,Fixed Expenses,850,
08/12/2023,EXPENSE,Stock Expense,716,
08/12/2023,INCOME,Sales,2200,
09/12/2023,EXPENSE,Fixed Expenses,950,
09/12/2023,EXPENSE,Stock Expense,1232,
09/12/2023,EXPENSE,Outsource Expense,1506,
09/12/2023,INCOME,Sales,3132,
10/12/2023,EXPENSE,Fixed Expenses,850,
10/12/2023,EXPENSE,Stock Expense,1118,
10/12/2023,EXPENSE,Outsource Expense,60,
10/12/2023,INCOME,Sales,2007,
11/12/2023,EXPENSE,Fixed Expenses,850,
11/12/2023,EXPENSE,Stock Expense,1118,
11/12/2023,EXPENSE,Outsource Expense,235,
11/12/2023,INCOME,Sales,2563,
12/12/2023,EXPENSE,Fixed Expenses,850,
12/12/2023,EXPENSE,Stock Expense,746,
12/12/2023,EXPENSE,Outsource Expense,985,
12/12/2023,INCOME,Sales,2071,
13/12/2023,EXPENSE,Fixed Expenses,950,
13/12/2023,EXPENSE,Stock Expense,1404,
13/12/2023,EXPENSE,Upgrade Expense,1800,
13/12/2023,INCOME,Sales,3270,
14/12/2023,EXPENSE,Fixed Expenses,950,
14/12/2023,EXPENSE,Stock Expense,1412,
14/12/2023,EXPENSE,Outsource Expense,60,
14/12/2023,INCOME,Sales,3470,
15/12/2023,EXPENSE,Fixed Expenses,850,
15/12/2023,EXPENSE,Stock Expense,1060,
15/12/2023,EXPENSE,Outsource Expense,1061,
15/12/2023,INCOME,Sales,2448,
16/12/2023,EXPENSE,Fixed Expenses,950,
16/12/2023,EXPENSE,Stock Expense,1576,
16/12/2023,EXPENSE,Outsource Expense,0,
16/12/2023,INCOME,Sales,3920,
17/12/2023,EXPENSE,Fixed Expenses,850,
17/12/2023,EXPENSE,Stock Expense,1032,
17/12/2023,EXPENSE,Outsource Expense,1146,
17/12/2023,INCOME,Sales,3920,
18/12/2023,EXPENSE,Fixed Expenses,850,
18/12/2023,EXPENSE,Stock Expense,860,
18/12/2023,EXPENSE,Outsource Expense,0,
18/12/2023,INCOME,Sales,1782,
19/12/2023,EXPENSE,Fixed Expenses,950,
19/12/2023,EXPENSE,Stock Expense,2006,
19/12/2023,EXPENSE,Outsource Expense,1429 + 180,
19/12/2023,INCOME,Sales,4357,
20/12/2023,EXPENSE,Fixed Expenses,950,
20/12/2023,EXPENSE,Stock Expense,1462,
20/12/2023,EXPENSE,Outsource Expense,1468,
20/12/2023,INCOME,Sales,3470,
21/12/2023,EXPENSE,Fixed Expenses,0, ##############
21/12/2023,EXPENSE,Stock Expense,0,
21/12/2023,EXPENSE,Outsource Expense,0,
21/12/2023,INCOME,Sales,0,
22/12/2023,EXPENSE,Fixed Expenses,950,
22/12/2023,EXPENSE,Stock Expense,1862,
22/12/2023,EXPENSE,Outsource Expense,378,
22/12/2023,INCOME,Sales,4470,
23/12/2023,EXPENSE,Fixed Expenses,950,
23/12/2023,EXPENSE,Stock Expense,1634,
23/12/2023,EXPENSE,Outsource Expense,0,
23/12/2023,INCOME,Sales,3818,
25/12/2023,EXPENSE,Fixed Expenses,1800,
25/12/2023,EXPENSE,Stock Expense,2724,
25/12/2023,EXPENSE,Outsource Expense,870,
25/12/2023,INCOME,Sales,5674,
26/12/2023,EXPENSE,Fixed Expenses,0, ###############
26/12/2023,EXPENSE,Stock Expense,0,
26/12/2023,EXPENSE,Outsource Expense,0,
26/12/2023,INCOME,Sales,0,
27/12/2023,EXPENSE,Fixed Expenses,850,
27/12/2023,EXPENSE,Stock Expense,1290,
27/12/2023,EXPENSE,Outsource Expense,840,
27/12/2023,INCOME,Sales,2460,
28/12/2023,EXPENSE,Fixed Expenses,950,
28/12/2023,EXPENSE,Stock Expense,1232,
28/12/2023,EXPENSE,Outsource Expense,100,
28/12/2023,INCOME,Sales,3069,
29/12/2023,EXPENSE,Fixed Expenses,950,
29/12/2023,EXPENSE,Stock Expense,1404,
29/12/2023,EXPENSE,Outsource Expense,780,
29/12/2023,INCOME,Sales,3223,
30/12/2023,EXPENSE,Fixed Expenses,850,
30/12/2023,EXPENSE,Stock Expense,1262,
30/12/2023,EXPENSE,Outsource Expense,672,
30/12/2023,INCOME,Sales,2718,
31/12/2023,EXPENSE,Fixed Expenses,850,
31/12/2023,EXPENSE,Stock Expense,1060,
31/12/2023,EXPENSE,Outsource Expense,0,
31/12/2023,INCOME,Sales,2550,
