Date,Type,Description,Amount,Image
27/10/2023,EXPENSE,Initial Investment,250000,
28/10/2023,EXPENSE,Fixed Expenses,950,
28/10/2023,EXPENSE,Stock Expense,3861,
28/10/2023,EXPENSE,Outsource Expense,1170,
28/10/2023,INCOME,Sales,3500,
29/10/2023,EXPENSE,Fixed Expenses,950,
29/10/2023,EXPENSE,Stock Expense,1776,
29/10/2023,EXPENSE,Outsource Expense,683,
29/10/2023,INCOME,Sales,3630,
30/10/2023,EXPENSE,Fixed Expenses,950,
30/10/2023,EXPENSE,Stock Expense,860,
30/10/2023,EXPENSE,Outsource Expense,224,
30/10/2023,INCOME,Sales,2892,
31/10/2023,EXPENSE,Fixed Expenses,850,
31/10/2023,EXPENSE,Stock Expense,716,
31/10/2023,EXPENSE,Outsource Expense,447,
31/10/2023,INCOME,Sales,2075,
01/11/2023,EXPENSE,Fixed Expenses,850,
01/11/2023,EXPENSE,Stock Expense,344,
01/11/2023,INCOME,Sales,2061,
02/11/2023,EXPENSE,Fixed Expenses,850,
02/11/2023,EXPENSE,Stock Expense,1060,
02/11/2023,EXPENSE,Outsource Expense,972,
02/11/2023,INCOME,Sales,2950,
03/11/2023,EXPENSE,Fixed Expenses,950,
03/11/2023,EXPENSE,Stock Expense,1861,
03/11/2023,EXPENSE,Outsource Expense,1553,
03/11/2023,INCOME,Sales,4170,
04/11/2023,EXPENSE,Fixed Expenses,850,
04/11/2023,EXPENSE,Stock Expense,1662,
04/11/2023,EXPENSE,Outsource Expense,170,
04/11/2023,INCOME,Sales,2633,
05/11/2023,EXPENSE,Fixed Expenses,900,
05/11/2023,EXPENSE,Stock Expense,1462,
05/11/2023,EXPENSE,Outsource Expense,400,
05/11/2023,INCOME,Sales,3290,
06/11/2023,EXPENSE,Fixed Expenses,850,
06/11/2023,EXPENSE,Stock Expense,344,
06/11/2023,EXPENSE,Outsource Expense,163,
06/11/2023,INCOME,Sales,2179,
07/11/2023,EXPENSE,Fixed Expenses,850,
07/11/2023,EXPENSE,Stock Expense,860,
07/11/2023,EXPENSE,Outsource Expense,559,
07/11/2023,INCOME,Sales,2157,
08/11/2023,EXPENSE,Fixed Expenses,850,
08/11/2023,EXPENSE,Stock Expense,1462,
08/11/2023,INCOME,Sales,2719,
09/11/2023,EXPENSE,Fixed Expenses,850,
09/11/2023,EXPENSE,Stock Expense,688,
09/11/2023,EXPENSE,Outsource Expense,960,
09/11/2023,INCOME,Sales,2520,
10/11/2023,EXPENSE,Fixed Expenses,950,
10/11/2023,EXPENSE,Stock Expense,1769,
10/11/2023,EXPENSE,Outsource Expense,485,
10/11/2023,INCOME,Sales,3799,
11/11/2023,EXPENSE,Fixed Expenses,850,
11/11/2023,EXPENSE,Stock Expense,946,
11/11/2023,EXPENSE,Outsource Expense,100,
11/11/2023,INCOME,Sales,2001,
12/11/2023,EXPENSE,Fixed Expenses,850,
12/11/2023,EXPENSE,Stock Expense,746,
12/11/2023,INCOME,Sales,1885,
13/11/2023,EXPENSE,Fixed Expenses,850,
13/11/2023,EXPENSE,Stock Expense,1290,
13/11/2023,EXPENSE,Outsource Expense,605,
13/11/2023,INCOME,Sales,2737,
